.pred,.row,key
1.88,1,snaïve
1.8,2,snaïve
2.39,3,snaïve
2.88,4,snaïve
4.19,5,snaïve
4.97,6,snaïve
5.34,7,snaïve
5.46,8,snaïve
4.82,9,snaïve
