.pred,.row,ipc
3.0632733261142477,181,1.78
2.856244651910327,182,1.24
2.925298847317453,183,1.77
2.700459213785766,184,1.88
2.5611932034840486,185,1.8
3.5411408839047684,186,2.39
3.6008461186431733,187,2.88
4.430894631765078,188,4.19
3.833098394210403,189,4.97
3.9221842366031914,190,5.34
4.1275302867928385,191,5.46
3.8228727517465013,192,4.82
3.981453091664739,193,5.24
5.5908590433413305,194,6
7.1602162713127235,195,5.84
6.475580004775969,196,5.2
7.255257335433801,197,5.17
7.220350567397332,198,3.91
7.211744393449108,199,3.82
7.604856956601941,200,3.62
7.3888079548464924,201,3.67
6.059060453150757,202,2.96
7.196249056997308,203,2.89
7.5877418578459155,204,3.07
