.pred,.row,key
2.5446151823814542,1,sarima
2.5436874715050797,2,sarima
2.730834762999203,3,sarima
2.2430054511720847,4,sarima
2.2163061309786682,5,sarima
1.9331259197987887,6,sarima
2.822232403129143,7,sarima
3.616003875780267,8,sarima
3.8980764389993263,9,sarima
3.5967006236953303,10,sarima
3.5544992228062737,11,sarima
3.3235193247021364,12,sarima
2.9571006537965507,13,sarima
2.7820478123671233,14,sarima
2.7468584643617087,15,sarima
2.7172774883276887,16,sarima
2.751747431921996,17,sarima
2.7399739413192847,18,sarima
2.4335838836416874,19,sarima
2.4933216022430447,20,sarima
2.734116724233819,21,sarima
2.6924637276188754,22,sarima
2.400888341321834,23,sarima
2.2855279324130144,24,sarima
