.pred,.row,key
3.7262802825614516,1,snaïve
3.945650013770143,2,snaïve
4.108952356671586,3,snaïve
4.238117446992447,4,snaïve
4.34510871297209,5,snaïve
4.436618368999602,6,snaïve
4.5165337309331335,7,snaïve
4.587234342238571,8,snaïve
4.65027570189646,9,snaïve
4.7067510318695005,10,snaïve
4.757483918885784,11,snaïve
4.803131992870373,12,snaïve
4.844243699407805,13,snaïve
4.8812902425488724,14,snaïve
4.914684295753314,15,snaïve
4.94479158263132,16,snaïve
4.971938545489348,17,snaïve
4.996417805937966,18,snaïve
5.018492326491895,19,snaïve
5.038398763593935,20,snaïve
5.056350281714396,21,snaïve
5.072538981194155,22,snaïve
5.087138030056945,23,snaïve
5.100303556278289,24,snaïve
