ipc,.pred
1.78,1.9025220332075556
1.24,2.040032580057572
1.77,2.83353861993292
1.88,3.6786380623330053
1.8,3.9155236670794493
2.39,3.961621991587734
2.88,3.9403970737551357
4.19,3.7839685473406175
4.97,3.9336130812163965
5.34,3.859444634305378
5.46,3.8412273672750894
4.82,3.7388677901152088
5.24,3.2167410427866105
6,2.978065418854686
5.84,3.0589682120424753
5.2,3.7826764069914836
5.17,4.146845113907685
3.91,4.701624900105346
3.82,4.655348407672771
3.62,4.17922942566462
3.67,4.333812582425679
2.96,4.179184185410054
2.89,3.623750775882281
3.07,2.6843334279380127
