.pred,.row,ipc
2.1447783333333366,181,1.78
1.938786666666668,182,1.24
2.211035000000002,183,1.77
2.210843333333338,184,1.88
2.225533333333333,185,1.8
2.8587466666666748,186,2.39
3.700243333333351,187,2.88
4.654475000000008,188,4.19
5.406771666666675,189,4.97
5.8477116666666715,190,5.34
6.230688333333334,191,5.46
5.367380000000013,192,4.82
5.688611666666677,193,5.24
6.670588333333337,194,6
6.334448333333335,195,5.84
5.726848333333341,196,5.2
5.730491666666673,197,5.17
4.635221666666671,198,3.91
4.634225000000005,199,3.82
4.35986333333334,200,3.62
4.384981666666674,201,3.67
3.7551616666666594,202,2.96
3.7658049999999914,203,2.89
3.953029999999995,204,3.07
