.pred,.row,ipc
1.7476675724914879,181,1.78
1.3235448255034417,182,1.24
2.537286771767223,183,1.77
3.1553219122063325,184,1.88
3.127048746349992,185,1.8
3.565252665596627,186,2.39
3.8326068664347788,187,2.88
4.9152473633049,188,4.19
5.595619946867828,189,4.97
6.095945762427587,190,5.34
6.335105530213857,191,5.46
5.482115258521443,192,4.82
6.092223839129905,193,5.24
6.987777013754475,194,6
7.369311441589234,195,5.84
6.250639265750336,196,5.2
6.835769042680026,197,5.17
5.8682507033596325,198,3.91
5.568629985263974,199,3.82
5.207805434931917,200,3.62
5.376175421138718,201,3.67
4.691911592963879,202,2.96
4.966534167986511,203,2.89
5.588019318799645,204,3.07
