.pred,.row,ipc
2.3045573234558105,181,1.78
1.1757707595825195,182,1.24
2.104954719543457,183,1.77
2.63877534866333,184,1.88
2.3504555225372314,185,1.8
2.6795449256896973,186,2.39
3.3297762870788574,187,2.88
4.558700084686279,188,4.19
5.196066856384277,189,4.97
5.655224800109863,190,5.34
6.114386081695557,191,5.46
5.201846599578857,192,4.82
5.623498916625977,193,5.24
6.397037506103516,194,6
5.960970878601074,195,5.84
5.503330230712891,196,5.2
5.668527603149414,197,5.17
4.708754539489746,198,3.91
4.743014812469482,199,3.82
4.4114990234375,200,3.62
4.548330783843994,201,3.67
4.190284729003906,202,2.96
4.1702165603637695,203,2.89
4.1568121910095215,204,3.07
