.pred,.row,ipc
3.620288427249675,181,1.7800000000000002
2.5257095246545473,182,1.2400000000000007
2.6992773732519306,183,1.7699999999999996
3.531199982111601,184,1.88
2.470212903671717,185,1.7999999999999998
2.8129031707531564,186,2.39
2.925651179220759,187,2.88
3.8003423869191924,188,4.19
4.317343409477988,189,4.97
4.571069563226041,190,5.34
4.802490067753356,191,5.46
4.337013561238931,192,4.82
5.142547799588364,193,5.24
5.350952312072822,194,6
4.72766709436181,195,5.84
5.780876699016633,196,5.2
5.0139555813868935,197,5.17
5.553105052966895,198,3.91
4.919337211418747,199,3.82
4.83708368812079,200,3.62
5.166577335251197,201,3.67
4.179924789624193,202,2.96
3.9076985989715927,203,2.89
4.0002253216797925,204,3.07
