"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Mercado de valores",,,,,,
"Volumen transado por mercado",,,,,,
"Unidad de medida: Millones de US dólares.  Millones de moneda nacional",,,,,,
Fechas,Guatemala,,
,"Mercado primario","Mercado secundario total","Mercado de reportos"
2021-Febrero,21830.12,11693.30,11518.47
2021-Marzo,65571.00,23359.39,22715.68
2021-Abril,22511.47,28494.89,28487.89
2021-Mayo,16807.48,31499.67,31493.71
2021-Junio,27895.32,40111.41,39708.91
2021-Julio,37883.65,45823.94,45793.14
2021-Agosto,18863.86,45218.53,45212.96
2021-Setiembre,47607.29,36957.76,36886.22
2021-Octubre,45743.75,23803.83,23786.60
2021-Noviembre,12231.04,41618.63,41610.65
2021-Diciembre,93381.86,21202.51,20568.60
