"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Tipos de cambio",,,,,,
"Índice tipo de cambio efectivo real",,,,,,
"Unidad de medida: Niveles del índice y variaciones en porcentajes",,,,,,
Fechas,Guatemala,,,,,,,,,,,
,"ITCER con USA","ITCER global","ITCER con la región CAPARD","ITCER con el resto del mundo","ITCER con USA, variación interanual","ITCER global, variación interanual","ITCER con la región CAPARD, variación interanual","ITCER con el resto del mundo, variación interanual","ITCER con USA, variación con el año base","ITCER global, variación con el año base","ITCER con la región CAPARD, variación con el año base","ITCER con el resto del mundo, variación con el año base"
2012-Setiembre,65.26,70.37,76.61,68.56,0.27,0.04,0.60,-0.01,-34.74,-29.63,-23.39,-31.44
2012-Octubre,64.39,69.61,75.74,67.83,-0.78,-0.46,-0.31,-0.38,-35.61,-30.39,-24.26,-32.17
2012-Noviembre,64.08,69.38,75.73,67.55,-0.59,-0.16,-0.37,0.05,-35.92,-30.62,-24.27,-32.45
2012-Diciembre,63.71,69.32,75.61,67.51,-0.51,0.40,-0.41,0.81,-36.29,-30.68,-24.39,-32.49
2013-Enero,63.52,69.16,75.45,67.38,-1.28,-0.34,-0.44,-0.25,-36.48,-30.84,-24.55,-32.62
2013-Febrero,63.09,68.48,74.70,66.72,-1.58,-1.67,-1.03,-1.81,-36.91,-31.52,-25.30,-33.28
2013-Marzo,62.81,68.12,74.43,66.34,-1.67,-1.49,-0.68,-1.68,-37.19,-31.88,-25.57,-33.66
2013-Abril,62.53,68.00,74.17,66.26,-2.35,-1.67,-1.75,-1.59,-37.47,-32.00,-25.83,-33.74
2013-Mayo,62.42,67.67,73.91,65.91,-2.73,-1.61,-2.41,-1.31,-37.58,-32.33,-26.09,-34.09
2013-Junio,62.41,67.21,73.77,65.37,-3.29,-2.41,-3.10,-2.14,-37.59,-32.79,-26.23,-34.63
2013-Julio,62.29,67.07,73.56,65.25,-2.67,-2.20,-2.46,-2.06,-37.71,-32.93,-26.44,-34.75
2013-Agosto,62.89,67.77,74.29,65.94,-2.60,-2.17,-2.12,-2.12,-37.11,-32.23,-25.71,-34.06
2013-Setiembre,63.11,68.04,74.45,66.23,-3.29,-3.31,-2.82,-3.40,-36.89,-31.96,-25.55,-33.77
