"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Tipos de cambio",,,,,,
"Tipo de cambio de mercado",,,,,,
"Unidad de medida: Moneda nacional por unidad de US dólar",,,,,,
Fechas,Guatemala,,,
,"Tipo de cambio de compra promedio del mes","Tipo de cambio de venta promedio del mes","Tipo de cambio de compra fin de mes","Tipo de cambio de venta fin de mes"
2020-Junio,7.68,7.71,7.69,7.72
2020-Julio,7.68,7.71,7.69,7.73
2020-Agosto,7.69,7.72,7.71,7.76
2020-Setiembre,7.74,7.78,7.77,7.80
2020-Octubre,7.76,7.80,7.77,7.83
2020-Noviembre,7.77,7.81,7.79,7.85
2020-Diciembre,7.78,7.82,7.78,7.82
2021-Enero,7.77,7.81,7.76,7.82
2021-Febrero,7.72,7.76,7.68,7.73
2021-Marzo,7.70,7.74,7.69,7.73
2021-Abril,7.70,7.73,7.70,7.73
2021-Mayo,7.70,7.73,7.69,7.75
2021-Junio,7.72,7.76,7.73,7.76
2021-Julio,7.73,7.76,7.72,7.77
2021-Agosto,7.72,7.75,7.72,7.74
2021-Setiembre,7.71,7.75,7.70,7.76
2021-Octubre,7.71,7.75,7.72,7.75
2021-Noviembre,7.71,7.75,7.71,7.75
2021-Diciembre,7.71,7.74,7.70,7.73
