"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
Crédito,,,,,,
"Crédito total por moneda",,,,,,
"Unidad de medida: Millones de US dólares.  Millones de moneda nacional",,,,,,
Fechas,Guatemala,,
,"Crédito total","Crédito en MN","Crédito en ME"
2021-Febrero,377120.30,278362.16,98758.14
2021-Marzo,378069.26,279160.33,98908.93
2021-Abril,380571.27,281041.24,99530.03
2021-Mayo,387787.58,287873.63,99913.95
2021-Junio,386331.20,285846.31,100484.88
2021-Julio,391364.75,289725.66,101639.09
2021-Agosto,392791.66,291308.37,101483.29
2021-Setiembre,393359.46,293248.10,100111.36
2021-Octubre,396280.93,294764.86,101516.07
2021-Noviembre,401288.31,298533.18,102755.12
