Secretaría Ejecutiva del Consejo Monetario Centroamericano,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precios,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Índice de precios al consumidor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidad de medida: Niveles del índice y variaciones en porcentajes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fechas,Costa Rica,,,,El Salvador,,,,Guatemala,,,,Honduras,,,,Nicaragua,,,,República Dominicana,,,,Panamá,,,
,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior
1992-Abril,10.10,1.94,25.03,9.65,39.32,1.06,8.10,2.59,24.92,0.78,9.41,4.20,28.74,1.02,10.39,2.54,25.34,0.52,--,--,12.62,0.51,2.77,-1.57,60.83,0.10,2.15,1.36
1992-Mayo,10.19,0.93,24.05,10.67,39.49,0.43,6.74,3.03,25.11,0.75,9.04,4.98,28.85,0.38,9.53,2.94,25.38,0.16,--,--,12.68,0.44,3.53,-1.13,61.12,0.48,2.74,1.84
1992-Junio,10.31,1.23,22.99,12.03,39.95,1.19,7.11,4.25,25.30,0.76,8.94,5.78,28.87,0.07,7.70,3.01,25.16,-0.87,--,--,13.03,2.74,6.12,1.58,61.29,0.29,2.23,2.13
1992-Julio,10.38,0.59,21.09,12.69,40.73,1.94,6.63,6.27,25.70,1.59,10.43,7.46,29.03,0.55,6.60,3.58,25.31,0.60,--,--,12.96,-0.53,5.20,1.04,61.35,0.09,2.33,2.23
1992-Agosto,10.43,0.55,20.08,13.31,41.90,2.89,9.53,9.33,25.90,0.79,9.66,8.31,29.09,0.21,5.50,3.79,25.18,-0.51,--,--,13.08,0.94,4.62,1.99,61.41,0.09,2.53,2.33
1992-Setiembre,10.47,0.39,18.65,13.75,43.87,4.69,14.41,14.47,26.08,0.68,11.19,9.04,29.12,0.10,6.02,3.90,25.11,-0.28,--,--,13.17,0.70,3.98,2.71,60.89,-0.85,1.55,1.45
1992-Octubre,10.54,0.67,18.07,14.52,44.86,2.26,16.97,17.05,26.20,0.45,11.57,9.54,29.24,0.41,5.42,4.33,25.42,1.23,--,--,13.24,0.53,4.22,3.25,60.54,-0.57,1.27,0.87
1992-Noviembre,10.67,1.17,17.73,15.86,45.72,1.92,19.88,19.30,26.72,2.00,13.20,11.73,29.58,1.16,5.78,5.54,25.96,2.12,--,--,13.31,0.49,4.68,3.76,60.77,0.38,1.46,1.26
1992-Diciembre,10.77,0.96,16.97,16.97,45.96,0.53,19.93,19.93,27.32,2.23,14.22,14.22,29.85,0.91,6.50,6.50,26.06,0.39,--,--,13.49,1.36,5.17,5.17,61.00,0.38,1.65,1.65
1993-Enero,10.81,0.41,12.99,0.41,48.59,5.71,26.07,5.71,27.45,0.47,14.27,0.47,30.01,0.54,6.91,0.54,28.40,8.98,11.90,8.98,13.60,0.86,6.05,0.86,60.83,-0.29,0.77,-0.29
1993-Febrero,10.88,0.57,11.12,0.98,48.44,-0.31,25.33,5.38,27.50,0.21,13.33,0.68,30.30,0.97,6.77,1.51,30.60,7.75,21.48,17.42,13.59,-0.09,7.57,0.77,60.89,0.10,0.48,-0.19
1993-Marzo,10.91,0.35,10.20,1.34,48.81,0.76,25.46,6.19,27.70,0.73,12.04,1.41,30.53,0.76,7.31,2.28,30.53,-0.23,21.10,17.15,13.50,-0.63,7.53,0.14,61.00,0.19,0.38,0
1993-Abril,11.02,1.00,9.18,2.35,49.03,0.45,24.70,6.67,28.09,1.39,12.71,2.83,31.12,1.93,8.28,4.25,30.45,-0.26,20.17,16.85,13.45,-0.38,6.58,-0.24,61.12,0.19,0.48,0.19
1993-Mayo,11.13,0.97,9.22,3.34,49.65,1.26,25.74,8.02,28.25,0.59,12.54,3.43,31.39,0.87,8.80,5.16,30.75,0.99,21.16,18.00,13.50,0.33,6.46,0.09,61.12,0,0,0.19
1993-Junio,11.27,1.30,9.30,4.69,50.97,2.66,27.57,10.89,28.94,2.42,14.39,5.93,31.85,1.47,10.32,6.70,30.33,-1.37,20.55,16.39,13.59,0.67,4.32,0.77,61.18,0.10,-0.19,0.29
1993-Julio,11.40,1.10,9.85,5.84,52.03,2.08,27.75,13.20,29.62,2.37,15.27,8.44,32.81,3.01,13.02,9.92,30.93,1.98,22.20,18.69,13.66,0.49,5.39,1.26,61.29,0.19,-0.09,0.48
1993-Agosto,11.44,0.37,9.66,6.23,52.12,0.17,24.37,13.38,29.70,0.25,14.65,8.72,33.17,1.10,14.03,11.12,30.99,0.19,23.07,18.92,13.65,-0.03,4.37,1.22,61.18,-0.19,-0.38,0.29
1993-Setiembre,11.40,-0.31,8.89,5.90,52.13,0.03,18.83,13.42,29.57,-0.44,13.38,8.24,32.98,-0.57,13.26,10.49,31.14,0.48,24.01,19.49,13.73,0.58,4.25,1.81,61.00,-0.29,0.19,0
1993-Octubre,11.51,0.96,9.20,6.92,52.67,1.03,17.40,14.58,29.74,0.58,13.52,8.86,33.21,0.70,13.58,11.26,31.17,0.10,22.62,19.61,13.79,0.45,4.16,2.27,61.53,0.86,1.63,0.86
1993-Noviembre,11.64,1.08,9.11,8.07,52.79,0.23,15.46,14.85,30.13,1.31,12.75,10.29,33.53,0.96,13.35,12.33,31.21,0.13,20.22,19.76,13.83,0.25,3.92,2.53,61.53,0,1.25,0.86
1993-Diciembre,11.74,0.90,9.04,9.04,53.31,0.98,15.98,15.98,30.50,1.22,11.64,11.64,33.74,0.63,13.03,13.03,31.13,-0.26,19.46,19.46,13.86,0.26,2.79,2.79,61.58,0.09,0.95,0.95
1994-Enero,11.85,0.87,9.54,0.87,54.43,2.10,12.02,2.10,31.15,2.14,13.49,2.14,34.21,1.39,14.00,1.39,31.41,0.90,10.60,0.90,13.96,0.70,2.62,0.70,61.58,0,1.24,0
1994-Febrero,11.99,1.20,10.23,2.08,52.63,-3.31,8.65,-1.28,31.44,0.95,14.32,3.11,35.25,3.04,16.34,4.48,31.64,0.73,3.40,1.64,14.11,1.09,3.84,1.80,61.53,-0.09,1.05,-0.09
1994-Marzo,12.14,1.30,11.27,3.41,53.17,1.03,8.93,-0.26,31.62,0.57,14.14,3.69,35.60,0.99,16.61,5.51,31.81,0.54,4.19,2.18,14.26,1.04,5.58,2.86,61.58,0.09,0.95,0
