"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
Producción,,,,,,
"Índice Mensual de la Actividad Económica",,,,,,
"Unidad de medida: Niveles del índice y variaciones en porcentajes",,,,,,
Fechas,Guatemala,,,,,
,"Serie original",,,Tendencia-ciclo,,
,IMAE,"IMAE, variación interanual","IMAE, variación acumulada",IMAE,"IMAE, variación interanual","IMAE, variación acumulada"
2017-Noviembre,117.03,1.78,3.22,115.46,1.72,3.24
2017-Diciembre,122.66,1.63,3.08,115.75,1.63,3.10
2018-Enero,117.61,1.89,1.89,116.33,1.91,1.91
2018-Febrero,117.44,2.79,2.34,117.22,2.56,2.23
2018-Marzo,121.56,2.99,2.56,118.32,3.43,2.63
2018-Abril,119.59,4.28,2.99,119.36,4.19,3.02
2018-Mayo,118.86,4.51,3.29,120.07,4.55,3.33
2018-Junio,116.15,4.13,3.42,120.26,4.43,3.51
2018-Julio,118.03,3.80,3.48,120.06,4.04,3.59
2018-Agosto,117.68,3.35,3.46,119.68,3.64,3.59
2018-Setiembre,115.19,2.75,3.38,119.31,3.34,3.57
2018-Octubre,117.97,3.69,3.41,119.06,3.17,3.53
2018-Noviembre,121.21,3.57,3.43,119.06,3.11,3.49
2018-Diciembre,125.39,2.22,3.32,119.41,3.17,3.46
2019-Enero,121.78,3.54,3.54,120.24,3.36,3.36
2019-Febrero,122.36,4.19,3.87,121.50,3.66,3.51
2019-Marzo,125.91,3.58,3.77,122.97,3.93,3.65
2019-Abril,124.00,3.69,3.75,124.22,4.07,3.76
2019-Mayo,123.77,4.13,3.82,124.87,3.99,3.80
2019-Junio,120.01,3.33,3.74,124.85,3.82,3.81
2019-Julio,122.50,3.79,3.75,124.37,3.59,3.78
2019-Agosto,121.60,3.33,3.70,123.83,3.47,3.74
2019-Setiembre,120.29,4.43,3.78,123.57,3.57,3.72
2019-Octubre,122.31,3.68,3.77,123.71,3.91,3.74
2019-Noviembre,126.81,4.62,3.85,124.04,4.19,3.78
2019-Diciembre,130.50,4.08,3.87,124.03,3.86,3.79
2020-Enero,127.36,4.58,4.58,123.13,2.40,2.40
2020-Febrero,125.48,2.55,3.56,121.22,-0.23,1.08
2020-Marzo,121.47,-3.53,1.15,118.63,-3.53,-0.47
2020-Abril,112.92,-8.94,-1.38,116.35,-6.33,-1.96
2020-Mayo,111.27,-10.10,-3.13,115.43,-7.55,-3.10
2020-Junio,110.90,-7.60,-3.85,116.40,-6.77,-3.72
2020-Julio,117.30,-4.24,-3.91,118.84,-4.45,-3.83
2020-Agosto,120.29,-1.07,-3.56,121.81,-1.63,-3.55
2020-Setiembre,121.52,1.02,-3.06,124.35,0.63,-3.08
2020-Octubre,125.80,2.86,-2.47,125.92,1.78,-2.60
2020-Noviembre,128.89,1.64,-2.08,126.62,2.08,-2.17
2020-Diciembre,136.13,4.32,-1.52,126.92,2.34,-1.79
2021-Enero,129.41,1.61,1.61,127.35,3.42,3.42
2021-Febrero,129.02,2.82,2.21,128.22,5.77,4.59
2021-Marzo,133.37,9.80,4.68,129.54,9.20,6.09
2021-Abril,129.80,14.95,7.06,130.92,12.52,7.65
2021-Mayo,129.31,16.21,8.76,131.96,14.32,8.95
2021-Junio,126.87,14.40,9.64,132.47,13.81,9.74
2021-Julio,130.73,11.45,9.90,132.56,11.55,10.00
2021-Agosto,130.02,8.08,9.67,132.48,8.76,9.84
2021-Setiembre,129.23,6.34,9.29,132.39,6.47,9.45
2021-Octubre,131.39,4.44,8.78,132.36,5.12,9.00
2021-Noviembre,135.38,5.04,8.41,132.54,4.68,8.59
2021-Diciembre,140.26,3.04,7.91,133.04,4.82,8.26
