"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
Precios,,,,,,
"Índice de precios al consumidor",,,,,,
"Unidad de medida: Niveles del índice y variaciones en porcentajes",,,,,,
Fechas,Guatemala,,,
,"IPC general","IPC variación mensual","IPC variación interanual","IPC variación acumulada con diciembre anterior"
2020-Julio,145.47,0.42,2.88,2.59
2020-Agosto,146.05,0.40,4.19,3.00
2020-Setiembre,146.28,0.16,4.97,3.16
2020-Octubre,147.83,1.06,5.34,4.25
2020-Noviembre,148.65,0.55,5.46,4.83
2020-Diciembre,148.64,-0.01,4.82,4.82
2021-Enero,148.87,0.15,5.24,0.15
2021-Febrero,149.34,0.32,6.00,0.47
2021-Marzo,149.84,0.33,5.84,0.81
2021-Abril,150.00,0.11,5.20,0.91
2021-Mayo,150.24,0.16,5.17,1.08
2021-Junio,150.52,0.19,3.91,1.26
2021-Julio,151.02,0.33,3.82,1.60
2021-Agosto,151.33,0.21,3.62,1.81
2021-Setiembre,151.65,0.21,3.67,2.03
2021-Octubre,152.20,0.36,2.96,2.40
2021-Noviembre,152.94,0.49,2.89,2.89
2021-Diciembre,153.20,0.17,3.07,3.07
2022-Enero,153.14,-0.04,2.87,-0.04
