fecha,ipc,m1,m0,cpi,debt,exports,rev,hydro,imae,itcer,lendrate,deprate,tpm,banana
2005-01-01,9.04,15.483454218944814,10.29354321897511,2.8051587929216915,10.137097130874473,13.795804759655985,-19.95959053265972,28.2951178224748,3.07,-8.67,4.11,4.56,2.55,2.38802662039852
2005-02-01,9.04,8.538380408631419,6.9097091349267,3.007348768392948,10.398684109576806,13.965683227222936,11.483508251165464,9.941731499535278,2.66,-8.98,4.11,4.58,2.75,-1.4154082449218564
2005-03-01,8.77,8.697585490376802,11.08545775920522,3.156495615442445,7.217286064610029,1.8311337915956296,13.980424922675994,28.395815161539907,4.32,-9.63,4.34,4.53,2.75,0.8865814639215763
2005-04-01,8.88,13.664554054788525,10.146893357510578,3.306520060862894,7.89735460478358,22.149949011364267,27.852095129593835,34.27604023384014,4.66,-8.99,3.88,4.57,2.75,2.9818128238129127
2005-05-01,8.52,13.91975744949434,10.880285984879912,2.8288947691197386,7.795295331878371,20.62935228302578,14.581086314987155,33.77834972582016,5.97,-7.98,4.16,4.59,3,1.5267472130788384
2005-06-01,8.8,14.144721515638992,12.916130297780626,2.50927959054863,7.691643128116787,2.3860487341107905,17.206917183928816,46.39076733399388,4.23,-8.09,3.88,4.62,3,0.28745664393392545
2005-07-01,9.3,14.847448952552966,12.27454156805532,3.0210630849103026,7.754750803059807,-0.12131016449270504,36.62617709985314,51.41640669461967,2.1,-8.21,3.29,4.58,3.25,-0.7718600794074604
2005-08-01,9.37,16.160089944044564,17.663254018607155,3.582007658452291,7.114465581468821,0.9334159973117372,14.522844991230864,52.86331331872378,2.36,-8.05,3.21,4.58,3.5,2.0414876695324047
2005-09-01,9.45,14.474021569354,8.537937344300417,4.6328408046646175,7.369994822432702,10.33176140280263,-28.246963599176933,49.16762673958894,2.73,-7.26,3.05,4.6,3.75,4.255194767673931
2005-10-01,10.29,14.55175643307154,10.94525653168006,4.258145205596442,-1.9915536048959128,-9.514033254512988,2.994293508541901,72.61877822455212,-0.99,-7.19,2.2,4.58,3.75,-2.914306217344631
2005-11-01,9.25,16.431113853647794,13.940497332109736,3.2840303652906577,-2.5491263974300793,10.122444051327497,6.575805747157126,58.55885427885972,1.3,-7.7,3.23,4.64,4,-0.59712391489323835
2005-12-01,8.57,16.921923067083355,13.3172218720631,3.2840303652906577,-3.1903962635611904,-5.507257486238171,-19.57174351122921,60.48596319115731,4.29,-7.54,3.81,4.62,4.25,-4.377983608879532
2006-01-01,8.08,17.344464003507376,18.89059556560184,3.940136168198904,5.320539080478071,8.350432975407163,35.19145879627921,63.16535557499519,4.68,-5.59,4.29,4.62,4.25,-3.177146361570937
2006-02-01,7.26,16.321121059153576,17.900900505095407,3.5736319296131747,5.350697783951652,0.04670714704246848,12.070274575971762,45.145825848153585,3.44,-4.77,5.11,4.65,4.25,0.6838312223560905
2006-03-01,7.28,17.84896117551451,13.375965811903257,3.3608050987300686,7.05893721847346,11.755620113119658,35.39184406908164,38.92530936091823,6.55,-3.77,5.11,4.65,4.25,-2.381911399761272
2006-04-01,7.48,15.596970005763389,14.481693102227132,3.550068538934159,7.282157449463789,-20.95080209984408,7.092017304288856,43.96575057174323,0.2,-3.9,4.89,4.69,4.5,-5.924183410926176
2006-05-01,7.62,15.03211900710415,15.17448736922944,3.90021578032691,7.654119207942678,-0.35076895554526644,-9.13389899960846,41.93997820350628,3.39,-3.4,4.72,4.7,4.5,-2.0232660177006423
2006-06-01,7.55,16.899181975247224,14.308639945301492,4.096653750655843,7.598396399476215,11.734630925852583,2.5927863306049126,29.04609326849421,5.33,-3.37,4.8,4.7,4.75,-3.172484842299106
2006-07-01,7.04,17.832953552441744,18.440363524048564,4.022664031825407,7.781389277490369,13.933084910717408,16.27297347747101,19.882615937578407,5.62,-2.6,5.29,4.69,5,-0.1972652511468276
2006-08-01,7,16.150220620855116,13.310208759671305,3.851438758632408,4.502769752692259,18.484876331412448,17.316163761034087,21.2815800672721,6.29,-2.87,5.32,4.7,5,-1.772038051116187
2006-09-01,5.7,16.846996407458548,21.367732762684888,1.992097749455457,3.995462654344628,26.334133703389373,24.43453493222361,-2.9671524339422106,7.96,-2.8,6.62,4.72,5,-1.1394240007629897
2006-10-01,3.85,17.127632276679527,18.233055166238188,1.3965314248641114,4.339962577989631,35.27708825049123,17.8304159644191,-32.53853083089106,10.14,-1.96,8.72,4.81,5,-12.934855193201322
2006-11-01,4.4,14.657553615843176,22.87376562482457,1.949574369669982,4.996515768087839,10.225092824816784,17.831643013744802,-24.00491956116202,8.81,-0.8,8.12,4.84,5,0.4627453952318561
2006-12-01,5.79,16.036822379841276,18.05912257642195,2.492651488183384,6.12311265986154,14.558223449205787,16.454544615369215,-14.812314986654409,5,-1.59,6.72,4.84,5,6.360384575521216
2007-01-01,6.22,11.542564548426348,10.755873997169196,2.054514742382274,-2.0310987350027787,16.660306610529485,13.097549335016634,-21.191853036799557,6.17,-1.78,6.34,4.85,5,3.7181994332788904
2007-02-01,6.62,18.47509687327733,16.980906739255808,2.39143662483734,-1.7645894864060097,27.274501143443164,18.36326502879055,-3.61703082057554,7.08,-1.54,5.96,4.92,5,4.538420632873041
2007-03-01,7.02,19.13833499983042,19.658233364391187,2.759763084754141,1.8351374666654152,19.85235313702347,22.143160212775204,1.6855059984455243,5.5,-1.57,5.48,4.92,5.25,8.61677940744583
2007-04-01,6.4,18.89163427640632,20.214565342043045,2.559878494901735,2.4070598806760657,29.89673796267107,9.76257794179407,0.36753850135555766,7.2,-0.86,6.02,4.91,5.5,-1.4882513849536316
2007-05-01,5.47,17.409900523843724,15.022690797692915,2.6738184762487016,1.847043857523012,33.894952938276916,12.655864930828995,-0.269585540959838,7.17,-0.09,6.92,4.91,5.5,-8.634685864088354
2007-06-01,5.31,17.149538802262576,17.433273159392648,2.657148166818324,6.877955215530918,12.841440554614092,18.769317753977344,5.074924587609342,7.65,0.82,7.08,4.92,5.5,-0.15725039744918234
2007-07-01,5.59,15.644353152814183,17.710820982362385,2.291435522260432,7.059877399794523,1.882900815290789,14.127980253975458,7.897988435209857,6.66,0.85,6.8,4.9,5.5,-0.6618813420206315
2007-08-01,6.21,15.572299775933727,18.555332322632445,1.8796714465866948,6.749817747325437,10.33430364445902,14.78356514111958,-3.1063757398200664,6.54,-0.61,6.02,4.91,5.5,1.3229623907182742
2007-09-01,7.33,16.026941652078897,16.26273067258346,2.7944163782901654,7.476846552108185,-11.572252316351506,3.258852266008727,13.457402741151103,4.28,-0.5,5.09,4.92,5.75,-2.492115790047311
2007-10-01,7.72,16.556033930860004,16.49692643038012,3.547040458223716,8.329143021738261,4.510388688883449,17.205137649291835,25.48688817499416,4.74,0.55,4.76,4.91,6,18.051727683385188
2007-11-01,9.13,15.717542404400042,8.13213737625098,4.2803396582697495,8.012417940731709,8.445383083851254,8.009331368047956,36.01132068552051,5.9,-0.97,3.45,4.94,6.25,3.8772383174913823
