"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Deuda pública",,,,,,
"Deuda pública interna por deudor",,,,,,
"Unidad de medida: Millones de US dólares.  Millones de moneda nacional",,,,,,
Fechas,Guatemala,,
,"Deuda interna bruta","Deuda interna GC","Deuda interna BC"
2021-Febrero,171023.24,107261.94,63761.30
2021-Marzo,169151.43,113394.23,55757.20
2021-Abril,176275.26,115141.56,61133.70
2021-Mayo,172638.41,115835.61,56802.80
2021-Junio,169344.74,119648.64,49696.10
2021-Julio,177796.52,120486.02,57310.50
2021-Agosto,174578.95,120433.55,54145.40
2021-Setiembre,174399.80,118165.21,56234.60
2021-Octubre,178200.43,118947.23,59253.20
2021-Noviembre,171822.17,118892.77,52929.40
2021-Diciembre,162537.40,119005.70,43531.70
