Secretaría Ejecutiva del Consejo Monetario Centroamericano,,,,,,
Índice Mensual de la Actividad Económica,,,,,,
Unidad de medida: Niveles del índice y variaciones en porcentajes,,,,,,
Fechas,Guatemala,,,,,
,Serie original,,,Tendencia-ciclo,,
,IMAE,"IMAE, variación interanual","IMAE, variación acumulada",IMAE,"IMAE, variación interanual","IMAE, variación acumulada"
2008-Febrero,86.34,4.00,4.38,86.30,4.91,4.83
2008-Marzo,88.39,0.19,2.93,86.81,4.95,4.87
2008-Abril,88.85,8.02,4.17,87.13,4.83,4.86
2008-Mayo,86.61,5.17,4.37,87.20,4.60,4.81
2008-Junio,84.38,4.10,4.32,87.10,4.31,4.73
2008-Julio,85.10,2.56,4.07,86.97,3.96,4.61
2008-Agosto,85.37,3.22,3.97,86.92,3.58,4.48
2008-Setiembre,83.58,3.73,3.94,86.88,3.15,4.33
2008-Octubre,85.04,4.74,4.02,86.72,2.60,4.16
2008-Noviembre,87.78,2.22,3.85,86.42,1.88,3.95
2008-Diciembre,91.65,1.75,3.66,86.13,1.05,3.70
2009-Enero,86.63,-0.79,-0.79,85.88,0.19,0.19
2009-Febrero,84.94,-1.63,-1.20,85.89,-0.48,-0.14
2009-Marzo,90.16,2.01,-0.12,86.12,-0.80,-0.36
2009-Abril,87.77,-1.21,-0.40,86.44,-0.80,-0.47
2009-Mayo,85.69,-1.07,-0.53,86.78,-0.49,-0.48
2009-Junio,83.90,-0.56,-0.54,87.08,-0.03,-0.40
2009-Julio,87.05,2.29,-0.14,87.38,0.47,-0.28
2009-Agosto,85.87,0.58,-0.05,87.74,0.95,-0.12
2009-Setiembre,84.66,1.29,0.09,88.09,1.39,0.05
2009-Octubre,87.14,2.46,0.33,88.33,1.86,0.23
2009-Noviembre,88.12,0.39,0.33,88.42,2.32,0.42
2009-Diciembre,95.06,3.72,0.63,88.46,2.71,0.61
2010-Enero,88.41,2.06,2.06,88.50,3.06,3.06
2010-Febrero,87.08,2.53,2.29,88.75,3.33,3.19
2010-Marzo,94.13,4.40,3.02,89.03,3.38,3.25
2010-Abril,89.66,2.15,2.80,89.23,3.23,3.25
2010-Mayo,88.28,3.02,2.84,89.29,2.90,3.18
2010-Junio,87.48,4.26,3.07,89.26,2.50,3.06
2010-Julio,87.98,1.07,2.79,89.32,2.21,2.94
