"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Tipos de cambio",,,,,,
"Índice tipo de cambio efectivo real",,,,,,
"Unidad de medida: Niveles del índice y variaciones en porcentajes",,,,,,
Fechas,Guatemala,,,
,"ITCER con USA, variación interanual","ITCER global, variación interanual","ITCER con la región CAPARD, variación interanual","ITCER con el resto del mundo, variación interanual"
2009-Julio,7.89,4.50,10.05,2.85
2009-Agosto,10.68,8.07,12.04,6.86
2009-Setiembre,9.98,8.77,10.89,8.08
2009-Octubre,11.48,13.74,11.21,14.38
2009-Noviembre,11.49,14.04,10.36,15.01
2009-Diciembre,11.38,13.13,9.49,14.09
2010-Enero,7.76,10.12,7.03,11.02
2010-Febrero,2.23,5.77,2.70,6.66
2010-Marzo,-2.21,1.75,-1.15,2.58
2010-Abril,-2.52,0.46,-0.70,0.74
2010-Mayo,-2.66,-1.53,-0.80,-1.85
2010-Junio,-4.34,-3.22,-1.72,-3.77
2010-Julio,-4.82,-3.30,-1.63,-3.90
2010-Agosto,-5.77,-4.37,-2.05,-5.17
2010-Setiembre,-5.30,-3.61,-1.21,-4.42
2010-Octubre,-6.57,-4.24,-1.88,-5.03
2010-Noviembre,-7.40,-5.36,-3.14,-6.12
2010-Diciembre,-7.80,-6.14,-3.49,-7.03
2011-Enero,-7.94,-6.56,-4.28,-7.28
2011-Febrero,-7.05,-5.34,-3.99,-5.77
2011-Marzo,-6.10,-4.82,-3.75,-5.16
2011-Abril,-7.21,-5.50,-4.61,-5.79
2011-Mayo,-6.77,-4.07,-3.83,-4.15
2011-Junio,-5.53,-2.56,-2.40,-2.61
2011-Julio,-6.20,-3.54,-3.52,-3.54
2011-Agosto,-5.81,-3.96,-3.43,-4.13
2011-Setiembre,-5.87,-5.62,-4.19,-6.07
2011-Octubre,-5.52,-6.66,-4.32,-7.39
2011-Noviembre,-4.84,-6.06,-3.42,-6.90
2011-Diciembre,-5.17,-6.20,-3.50,-7.05
2012-Enero,-4.15,-4.75,-2.88,-5.22
2012-Febrero,-2.46,-2.61,-1.24,-2.93
2012-Marzo,-1.55,-2.09,-0.40,-2.50
2012-Abril,-0.18,-1.75,0.57,-2.35
2012-Mayo,-0.56,-2.69,0.36,-3.51
2012-Junio,-0.84,-3.49,-0.25,-4.35
2012-Julio,-0.56,-3.12,-0.35,-3.85
2012-Agosto,-0.26,-2.25,-0.28,-2.73
2012-Setiembre,0.27,0.04,0.60,-0.01
2012-Octubre,-0.78,-0.46,-0.31,-0.38
2012-Noviembre,-0.59,-0.16,-0.37,0.05
2012-Diciembre,-0.51,0.40,-0.41,0.81
2013-Enero,-1.28,-0.34,-0.44,-0.25
2013-Febrero,-1.58,-1.67,-1.03,-1.81
2013-Marzo,-1.67,-1.49,-0.68,-1.68
2013-Abril,-2.35,-1.67,-1.75,-1.59
2013-Mayo,-2.73,-1.61,-2.41,-1.31
2013-Junio,-3.29,-2.41,-3.10,-2.14
2013-Julio,-2.67,-2.20,-2.46,-2.06
2013-Agosto,-2.60,-2.17,-2.12,-2.12
2013-Setiembre,-3.29,-3.31,-2.82,-3.40
2013-Octubre,-2.00,-1.78,-1.60,-1.77
2013-Noviembre,-2.96,-2.94,-2.70,-2.95
2013-Diciembre,-3.15,-3.38,-3.05,-3.42
2014-Enero,-2.90,-3.12,-2.81,-3.27
2014-Febrero,-3.16,-3.41,-3.45,-3.45
2014-Marzo,-2.69,-3.14,-4.08,-2.90
2014-Abril,-1.87,-2.43,-3.42,-2.18
2014-Mayo,-1.72,-2.01,-3.35,-1.66
2014-Junio,-1.17,-0.85,-2.49,-0.41
2014-Julio,-2.00,-1.43,-2.53,-1.15
2014-Agosto,-3.11,-2.74,-3.41,-2.59
2014-Setiembre,-4.48,-4.62,-4.86,-4.59
2014-Octubre,-5.84,-6.79,-6.23,-7.01
2014-Noviembre,-5.44,-6.58,-5.65,-6.91
2014-Diciembre,-5.08,-7.30,-5.49,-7.90
2015-Enero,-4.92,-7.24,-5.53,-7.78
2015-Febrero,-3.88,-6.47,-4.39,-7.11
2015-Marzo,-3.76,-6.97,-3.31,-8.09
2015-Abril,-3.27,-6.44,-2.91,-7.51
2015-Mayo,-3.28,-6.50,-3.02,-7.56
2015-Junio,-4.24,-7.82,-4.39,-8.86
2015-Julio,-3.73,-8.23,-4.64,-9.33
2015-Agosto,-3.74,-8.82,-5.01,-9.98
2015-Setiembre,-2.31,-7.19,-3.54,-8.30
2015-Octubre,-1.54,-5.54,-2.28,-6.54
2015-Noviembre,-1.67,-5.78,-2.79,-6.70
2015-Diciembre,-2.39,-5.81,-3.29,-6.60
2016-Enero,-2.79,-6.59,-3.76,-7.55
2016-Febrero,-2.87,-5.89,-3.42,-6.74
2016-Marzo,-2.15,-3.64,-3.08,-3.90
2016-Abril,-2.55,-3.99,-3.71,-4.16
2016-Mayo,-3.63,-5.69,-4.75,-6.07
2016-Junio,-3.39,-5.46,-4.72,-5.78
2016-Julio,-4.29,-5.59,-5.47,-5.72
2016-Agosto,-4.96,-5.37,-6.35,-5.15
2016-Setiembre,-5.06,-5.75,-6.83,-5.50
2016-Octubre,-5.31,-6.68,-7.82,-6.40
2016-Noviembre,-4.61,-6.63,-7.24,-6.53
2016-Diciembre,-3.51,-5.84,-6.48,-5.74
2017-Enero,-3.01,-5.20,-6.07,-5.01
2017-Febrero,-4.56,-6.27,-7.46,-5.98
2017-Marzo,-6.16,-7.99,-8.58,-7.87
2017-Abril,-6.83,-8.63,-9.02,-8.57
2017-Mayo,-5.93,-7.01,-8.19,-6.70
2017-Junio,-6.44,-6.55,-8.19,-6.10
2017-Julio,-7.11,-6.82,-8.89,-6.22
2017-Agosto,-6.03,-5.54,-7.82,-4.87
2017-Setiembre,-4.91,-3.88,-6.63,-3.06
2017-Octubre,-4.10,-3.58,-5.34,-3.08
2017-Noviembre,-4.66,-3.04,-5.63,-2.28
2017-Diciembre,-5.49,-3.10,-5.91,-2.27
2018-Enero,-4.78,-1.47,-5.30,-0.17
2018-Febrero,-2.43,0.66,-3.16,1.95
2018-Marzo,-1.24,1.27,-2.15,2.43
2018-Abril,-0.42,1.71,-1.46,2.79
2018-Mayo,0.19,0.84,-1.02,1.48
2018-Junio,1.08,0.41,-0.37,0.70
2018-Julio,2.86,1.99,1.43,2.21
2018-Agosto,2.56,1.14,1.49,1.06
2018-Setiembre,2.67,1.07,1.64,0.93
2018-Octubre,3.42,2.16,1.74,2.34
2018-Noviembre,4.04,2.00,1.73,2.13
2018-Diciembre,4.92,2.91,2.48,3.09
2019-Enero,2.71,0.60,0.05,0.85
2019-Febrero,2.09,-0.40,-0.62,-0.26
2019-Marzo,1.67,-0.91,-0.89,-0.84
2019-Abril,0.41,-2.08,-1.76,-2.11
2019-Mayo,0.31,-1.24,-1.16,-1.19
2019-Junio,-0.23,-1.03,-1.49,-0.81
2019-Julio,0.02,-0.84,-1.07,-0.68
2019-Agosto,0.91,-0.55,-0.19,-0.58
2019-Setiembre,0.48,-1.04,-0.70,-1.06
2019-Octubre,0,-1.04,-1.23,-0.91
2019-Noviembre,-0.77,-0.82,-1.34,-0.58
2019-Diciembre,-1.64,-1.62,-2.09,-1.39
2020-Enero,0.16,0.32,-0.05,-0.27
2020-Febrero,-0.04,-0.31,-0.19,-1.04
2020-Marzo,-0.21,-2.25,-0.19,-3.53
2020-Abril,-0.67,-3.79,-0.47,-5.43
2020-Mayo,-1.31,-3.78,-1.47,-5.12
2020-Junio,-1.73,-3.40,-2.31,-4.38
2020-Julio,-1.53,-3.40,-2.79,-4.24
2020-Agosto,-2.30,-3.27,-4.30,-3.60
2020-Setiembre,-2.78,-3.18,-4.50,-3.44
2020-Octubre,-3.64,-3.93,-4.92,-4.29
2020-Noviembre,-3.02,-2.84,-4.41,-3.02
2020-Diciembre,-1.89,-1.05,-3.28,-1.06
2021-Enero,-2.42,-3.23,-3.26,-3.09
2021-Febrero,-2.90,-3.60,-3.57,-3.49
2021-Marzo,-2.66,-2.13,-3.64,-1.60
2021-Abril,-0.90,0.85,-2.63,1.97
2021-Mayo,0.04,1.59,-2.26,2.85
2021-Junio,1.93,2.25,-0.51,3.14
2021-Julio,2.12,2.00,0.17,2.59
2021-Agosto,1.99,1.54,0.81,1.78
2021-Setiembre,1.28,0.46,0.12,0.57
2021-Octubre,2.51,0.90,0.82,0.91
2021-Noviembre,3.07,0.30,1.16,0.04
2021-Diciembre,2.86,-0.94,0.42,-1.35
2022-Enero,3.28,0.62,0.75,0.56
