"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Tipos de cambio",,,,,,
"Tipo de cambio de mercado",,,,,,
"Unidad de medida: Moneda nacional por unidad de US dólar",,,,,,
Fechas,Guatemala,
,"Tipo de cambio de compra promedio del mes","Tipo de cambio de venta promedio del mes"
2006-Enero,7.61,7.63
2006-Febrero,7.60,7.62
2006-Marzo,7.61,7.63
2006-Abril,7.58,7.60
2006-Mayo,7.57,7.59
2006-Junio,7.60,7.62
2006-Julio,7.57,7.59
2006-Agosto,7.57,7.59
2006-Setiembre,7.60,7.61
2006-Octubre,7.60,7.62
2006-Noviembre,7.60,7.62
2006-Diciembre,7.60,7.61
2007-Enero,7.67,7.69
2007-Febrero,7.69,7.71
2007-Marzo,7.68,7.70
2007-Abril,7.65,7.67
2007-Mayo,7.63,7.65
2007-Junio,7.67,7.69
2007-Julio,7.67,7.69
2007-Agosto,7.65,7.67
2007-Setiembre,7.69,7.71
2007-Octubre,7.71,7.73
2007-Noviembre,7.63,7.65
2007-Diciembre,7.61,7.64
2008-Enero,7.70,7.71
2008-Febrero,7.71,7.73
2008-Marzo,7.63,7.65
2008-Abril,7.53,7.55
2008-Mayo,7.42,7.45
2008-Junio,7.48,7.51
2008-Julio,7.43,7.45
2008-Agosto,7.40,7.42
2008-Setiembre,7.45,7.47
2008-Octubre,7.51,7.54
2008-Noviembre,7.62,7.65
2008-Diciembre,7.69,7.72
2009-Enero,7.85,7.88
2009-Febrero,7.93,7.96
2009-Marzo,8.06,8.09
2009-Abril,8.08,8.10
2009-Mayo,8.09,8.11
2009-Junio,8.12,8.14
2009-Julio,8.17,8.19
2009-Agosto,8.25,8.27
2009-Setiembre,8.30,8.33
2009-Octubre,8.34,8.36
2009-Noviembre,8.29,8.32
2009-Diciembre,8.31,8.34
2010-Enero,8.36,8.38
2010-Febrero,8.14,8.16
2010-Marzo,8.01,8.04
2010-Abril,7.99,8.02
2010-Mayo,7.99,8.01
2010-Junio,8.00,8.02
2010-Julio,7.99,8.02
2010-Agosto,8.00,8.03
2010-Setiembre,8.07,8.08
2010-Octubre,8.04,8.07
2010-Noviembre,7.99,8.02
2010-Diciembre,7.96,7.99
2011-Enero,7.94,7.96
2011-Febrero,7.79,7.82
2011-Marzo,7.69,7.72
2011-Abril,7.60,7.63
2011-Mayo,7.65,7.67
2011-Junio,7.76,7.80
2011-Julio,7.74,7.77
2011-Agosto,7.81,7.84
2011-Setiembre,7.84,7.86
2011-Octubre,7.83,7.86
2011-Noviembre,7.80,7.83
2011-Diciembre,7.79,7.81
2012-Enero,7.80,7.82
2012-Febrero,7.77,7.79
2012-Marzo,7.71,7.74
2012-Abril,7.74,7.76
2012-Mayo,7.77,7.79
2012-Junio,7.84,7.86
2012-Julio,7.81,7.83
2012-Agosto,7.87,7.89
2012-Setiembre,7.96,7.98
2012-Octubre,7.86,7.88
2012-Noviembre,7.86,7.88
2012-Diciembre,7.88,7.91
2013-Enero,7.87,7.89
2013-Febrero,7.81,7.84
2013-Marzo,7.80,7.82
2013-Abril,7.78,7.81
2013-Mayo,7.78,7.80
2013-Junio,7.81,7.83
