"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Agregados monetarios y depósitos",,,,,,
"Base monetaria",,,,,,
"Unidad de medida: Millones de moneda nacional.",,,,,,
Fechas,Guatemala,
,"Base monetaria amplia","Base monetaria restringida"
2016-Marzo,60867.00,49070.00
2016-Abril,61081.00,51341.00
2016-Mayo,61924.00,49072.00
2016-Junio,62192.00,51777.00
2016-Julio,64313.00,52664.00
2016-Agosto,63501.00,51318.00
2016-Setiembre,64823.00,52902.00
2016-Octubre,66608.00,52019.00
2016-Noviembre,63825.00,51720.00
2016-Diciembre,68741.00,59063.00
2017-Enero,67623.00,54169.00
2017-Febrero,66579.00,54634.00
2017-Marzo,67310.00,55393.00
2017-Abril,69387.00,57942.00
2017-Mayo,67888.00,55303.00
2017-Junio,70529.00,57865.00
2017-Julio,72242.00,56448.00
2017-Agosto,72875.00,56770.00
2017-Setiembre,74398.00,58518.00
2017-Octubre,76337.00,58993.00
2017-Noviembre,75417.00,57641.00
2017-Diciembre,81609.00,66347.00
2018-Enero,79084.00,60421.00
2018-Febrero,79183.00,60335.00
2018-Marzo,80393.00,62313.00
2018-Abril,80826.00,60383.00
2018-Mayo,79470.00,60519.00
2018-Junio,80734.00,61354.00
2018-Julio,81955.00,61721.00
2018-Agosto,82847.00,61774.00
2018-Setiembre,79673.00,62791.00
2018-Octubre,79117.00,63701.00
2018-Noviembre,79223.00,64030.00
2018-Diciembre,86906.00,71166.00
2019-Enero,83136.00,64544.00
2019-Febrero,83341.00,66174.00
2019-Marzo,85968.00,67545.00
2019-Abril,86020.00,66425.00
2019-Mayo,85126.00,67492.00
2019-Junio,87961.00,69737.00
2019-Julio,88628.00,69055.00
2019-Agosto,89884.00,69070.00
2019-Setiembre,89652.00,68986.00
2019-Octubre,90479.00,72015.00
2019-Noviembre,91210.00,71631.00
2019-Diciembre,98100.00,79231.00
2020-Enero,96864.00,75671.00
2020-Febrero,96582.00,76017.00
2020-Marzo,96459.00,76647.00
2020-Abril,99258.00,80779.00
2020-Mayo,102555.00,80723.00
2020-Junio,103844.00,82292.00
2020-Julio,105190.00,84929.00
2020-Agosto,110981.00,82820.00
2020-Setiembre,115809.00,84658.00
2020-Octubre,115049.00,88344.00
2020-Noviembre,114700.00,87673.00
2020-Diciembre,125561.00,103294.00
2021-Enero,122668.01,93238.24
2021-Febrero,122612.44,91909.63
2021-Marzo,117781.24,94754.07
2021-Abril,117286.21,95051.66
2021-Mayo,117255.77,90532.04
2021-Junio,114214.85,94858.83
2021-Julio,117925.76,96065.17
2021-Agosto,116583.25,96066.22
2021-Setiembre,118161.14,97104.27
2021-Octubre,116864.85,100186.40
2021-Noviembre,112595.95,99619.13
2021-Diciembre,125867.98,115504.97
2022-Enero,121693.21,104530.48
2022-Febrero,123256.81,103569.07
