"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Finanzas del Gobierno Central",,,,,,
"Resultado fiscal: Ingresos, gastos, donaciones",,,,,,
"Unidad de medida: Millones de US dólares.  Millones de moneda nacional",,,,,,
Fechas,Guatemala,
,"Ingresos totales GC","Gastos totales GC"
2005-Febrero,1511.70,1530.40
2005-Marzo,1756.90,2182.20
2005-Abril,2543.70,2014.90
2005-Mayo,2249.70,2284.10
2005-Junio,1875.30,1848.70
2005-Julio,2620.80,2774.30
2005-Agosto,1793.80,2401.90
2005-Setiembre,1690.20,2348.60
2005-Octubre,2571.70,2221.60
2005-Noviembre,2034.00,2804.20
2005-Diciembre,2230.10,4156.40
2006-Enero,2524.30,2153.80
2006-Febrero,1713.80,2275.90
2006-Marzo,2525.10,2466.60
2006-Abril,2686.40,2078.00
2006-Mayo,2054.40,2692.30
2006-Junio,1922.00,2306.20
2006-Julio,3098.40,3238.90
2006-Agosto,2144.40,2514.70
2006-Setiembre,2093.90,2720.30
2006-Octubre,3155.70,2423.10
2006-Noviembre,2353.30,3653.60
2006-Diciembre,2608.43,5198.00
2007-Enero,2878.60,2024.80
2007-Febrero,2054.50,2088.50
2007-Marzo,3143.30,3814.50
2007-Abril,3008.20,2804.80
2007-Mayo,2319.10,3248.70
2007-Junio,2299.80,2445.20
2007-Julio,3538.80,3940.90
2007-Agosto,2489.80,3361.50
2007-Setiembre,2245.60,3063.50
2007-Octubre,3681.80,2885.70
2007-Noviembre,2580.00,3566.20
2007-Diciembre,2951.30,4137.80
2008-Enero,3094.20,2549.80
2008-Febrero,2464.60,2053.50
2008-Marzo,3259.30,2957.50
2008-Abril,3622.80,2890.80
2008-Mayo,2471.10,3079.00
2008-Junio,2361.50,2608.50
2008-Julio,4000.30,3881.40
2008-Agosto,2492.70,2916.40
2008-Setiembre,2471.30,3609.70
2008-Octubre,3834.10,3919.70
2008-Noviembre,2414.70,4847.50
2008-Diciembre,2729.00,5041.60
2009-Enero,3131.60,2798.90
2009-Febrero,2161.30,2243.70
2009-Marzo,2885.20,3806.20
2009-Abril,3240.30,3806.60
2009-Mayo,2203.00,3104.60
2009-Junio,2391.80,2399.90
2009-Julio,3677.90,4488.70
2009-Agosto,2291.20,3325.20
2009-Setiembre,2326.70,4004.50
2009-Octubre,3829.20,3856.70
2009-Noviembre,2422.30,4919.40
2009-Diciembre,2987.00,4954.40
2010-Enero,3316.60,2933.70
2010-Febrero,2380.80,3124.30
2010-Marzo,3125.80,4048.70
2010-Abril,3712.70,3110.30
2010-Mayo,2427.60,4524.00
2010-Junio,2575.80,3126.90
2010-Julio,3994.60,4737.00
2010-Agosto,2806.30,4417.10
2010-Setiembre,2631.10,3547.20
2010-Octubre,3824.50,4156.20
2010-Noviembre,2823.60,4505.30
2010-Diciembre,3388.20,6154.70
2011-Enero,3537.69,3032.31
2011-Febrero,2664.12,3744.13
2011-Marzo,4447.58,4273.25
2011-Abril,4061.36,4164.11
2011-Mayo,2926.72,4921.46
2011-Junio,3266.55,3870.77
2011-Julio,4345.28,4913.72
2011-Agosto,3094.52,4381.49
2011-Setiembre,3157.83,4049.88
2011-Octubre,4379.48,4300.92
2011-Noviembre,3208.51,3941.14
2011-Diciembre,3493.04,7917.83
