"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Comercio exterior",,,,,,
"Exportación de café, banano y azúcar",,,,,,
"Unidad de medida: Valor en millones de US dólares. Volumen en miles de: café en quintales (QQ), banano en toneladas métricas (T) y azúcar en kilogramos (KG). Precio promedio en US$/QQ, US$/T y US$/KG",,,,,,
Fechas,Guatemala,,
,"Café valor exportado","Banano valor exportado","Azúcar valor exportado"
2006-Julio,62.81,20.47,46.66
2006-Agosto,49.94,17.99,14.90
2006-Setiembre,51.61,30.76,30.07
2006-Octubre,34.41,11.20,9.16
2006-Noviembre,12.23,32.82,4.47
2006-Diciembre,16.70,16.50,17.35
2007-Enero,29.54,26.99,35.94
2007-Febrero,41.78,15.70,75.87
2007-Marzo,63.03,22.67,21.55
2007-Abril,59.34,12.59,69.16
2007-Mayo,106.81,31.16,26.98
2007-Junio,73.72,38.10,35.30
2007-Julio,63.56,23.96,18.49
2007-Agosto,56.62,28.93,30.93
2007-Setiembre,27.56,27.08,13.79
2007-Octubre,18.80,29.13,17.43
2007-Noviembre,13.78,23.55,10.24
2007-Diciembre,22.78,18.92,2.45
2008-Enero,48.88,19.16,23.99
2008-Febrero,71.52,20.20,12.30
2008-Marzo,78.74,24.65,20.15
2008-Abril,97.10,27.92,28.72
2008-Mayo,80.94,27.99,9.98
2008-Junio,82.82,26.84,74.54
2008-Julio,67.25,23.85,35.67
2008-Agosto,49.51,27.54,59.70
2008-Setiembre,24.91,30.81,25.32
2008-Octubre,14.67,27.51,49.84
2008-Noviembre,10.52,30.14,28.81
2008-Diciembre,19.35,28.26,9.04
2009-Enero,39.65,41.60,43.90
2009-Febrero,56.11,29.05,38.19
2009-Marzo,77.23,36.00,27.31
2009-Abril,73.14,38.93,43.47
2009-Mayo,75.41,41.02,21.54
2009-Junio,78.56,34.46,69.81
2009-Julio,55.99,33.64,38.02
2009-Agosto,39.12,37.02,37.87
2009-Setiembre,22.51,35.91,46.22
2009-Octubre,17.14,36.77,30.64
2009-Noviembre,12.22,23.33,32.97
2009-Diciembre,32.27,23.57,77.75
2010-Enero,57.16,31.93,71.88
2010-Febrero,73.36,25.34,46.15
2010-Marzo,92.13,32.82,146.56
2010-Abril,83.55,35.70,79.73
2010-Mayo,86.37,27.63,87.92
2010-Junio,75.13,21.98,66.82
2010-Julio,64.02,28.70,31.13
2010-Agosto,48.70,28.95,42.54
2010-Setiembre,40.49,35.71,8.98
2010-Octubre,16.37,30.76,20.22
2010-Noviembre,20.55,26.20,8.77
2010-Diciembre,47.74,23.89,114.35
2011-Enero,74.90,26.21,61.65
2011-Febrero,110.75,31.88,138.34
2011-Marzo,147.23,42.16,87.05
2011-Abril,145.43,40.97,72.08
2011-Mayo,158.85,42.93,32.93
2011-Junio,139.59,42.57,18.05
2011-Julio,95.70,34.84,23.13
2011-Agosto,81.30,45.28,13.03
2011-Setiembre,89.88,52.46,10.42
2011-Octubre,38.04,40.25,7.33
2011-Noviembre,27.74,37.61,26.91
2011-Diciembre,54.98,35.54,157.82
2012-Enero,69.66,31.93,96.90
2012-Febrero,112.46,32.10,81.88
2012-Marzo,126.66,47.94,125.37
2012-Abril,97.87,38.76,126.97
2012-Mayo,104.68,43.65,57.97
2012-Junio,100.60,41.83,51.85
2012-Julio,98.68,40.79,16.88
2012-Agosto,82.61,48.66,38.42
2012-Setiembre,67.84,48.67,49.88
2012-Octubre,35.58,47.09,32.36
2012-Noviembre,26.14,40.61,44.30
2012-Diciembre,32.70,36.69,80.23
2013-Enero,47.55,44.30,85.72
2013-Febrero,67.11,45.70,93.06
2013-Marzo,75.76,53.40,176.59
2013-Abril,94.34,50.40,136.41
2013-Mayo,95.08,51.60,135.85
2013-Junio,90.93,37.50,72.30
2013-Julio,80.58,42.10,43.95
2013-Agosto,66.72,55.70,45.92
2013-Setiembre,40.45,54.40,21.25
2013-Octubre,16.68,64.10,21.45
2013-Noviembre,13.16,50.00,43.04
2013-Diciembre,24.18,46.50,66.33
2014-Enero,43.67,43.91,91.55
2014-Febrero,55.11,46.38,90.20
2014-Marzo,84.68,60.86,111.21
2014-Abril,82.38,61.94,87.94
2014-Mayo,94.30,54.34,89.85
2014-Junio,78.93,40.96,68.54
2014-Julio,67.11,52.27,33.78
2014-Agosto,69.36,59.18,69.24
2014-Setiembre,41.26,66.96,56.54
2014-Octubre,12.97,67.57,77.24
2014-Noviembre,15.38,49.86,64.52
2014-Diciembre,23.07,47.59,111.04
2015-Enero,54.16,43.91,82.87
2015-Febrero,60.59,46.38,114.74
2015-Marzo,83.06,60.86,53.33
2015-Abril,85.60,61.94,89.96
2015-Mayo,91.87,54.34,142.62
2015-Junio,80.10,40.96,90.98
2015-Julio,71.25,52.27,79.86
2015-Agosto,57.84,59.18,34.17
2015-Setiembre,29.88,66.96,38.96
2015-Octubre,11.39,67.57,34.87
2015-Noviembre,11.41,49.86,46.43
2015-Diciembre,25.88,47.59,41.79
2016-Enero,43.35,49.76,79.69
2016-Febrero,60.18,51.83,79.07
2016-Marzo,68.36,63.35,110.04
2016-Abril,91.76,62.83,82.87
2016-Mayo,75.29,56.13,93.77
2016-Junio,79.34,52.07,74.07
2016-Julio,79.22,51.31,29.12
2016-Agosto,60.48,73.67,53.69
2016-Setiembre,40.43,70.44,48.59
2016-Octubre,12.96,60.08,21.84
2016-Noviembre,12.85,60.02,48.05
2016-Diciembre,24.90,51.10,95.93
2017-Enero,44.12,61.09,79.44
2017-Febrero,68.66,61.41,96.64
2017-Marzo,92.40,73.23,121.01
2017-Abril,93.82,61.63,104.00
2017-Mayo,94.13,65.76,95.56
2017-Junio,95.82,58.64,64.20
2017-Julio,85.55,67.37,58.97
2017-Agosto,67.50,75.45,65.58
2017-Setiembre,47.50,69.12,22.42
2017-Octubre,20.40,73.15,19.75
2017-Noviembre,14.88,64.77,36.51
2017-Diciembre,23.22,49.96,60.92
2018-Enero,45.77,52.34,83.45
2018-Febrero,61.67,62.50,68.45
2018-Marzo,83.75,73.51,97.44
2018-Abril,89.44,65.40,68.99
2018-Mayo,99.15,70.76,64.66
2018-Junio,94.09,59.94,27.07
2018-Julio,69.74,65.84,38.16
2018-Agosto,57.94,81.12,39.97
2018-Setiembre,31.59,78.77,42.70
2018-Octubre,13.98,75.16,14.26
2018-Noviembre,9.82,62.27,26.35
2018-Diciembre,23.00,56.35,61.39
