"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Agregados monetarios y depósitos",,,,,,
"Agregados monetarios",,,,,,
"Unidad de medida: Millones de moneda nacional.",,,,,,
Fechas,Guatemala,
,"Agregado monetario M2","Agregado monetario M1"
2016-Marzo,179087.00,76055.00
2016-Abril,180308.00,76501.00
2016-Mayo,179921.00,75614.00
2016-Junio,181663.00,76033.00
2016-Julio,182663.00,76235.00
2016-Agosto,182624.00,75239.00
2016-Setiembre,183293.00,75434.00
2016-Octubre,184297.00,76042.00
2016-Noviembre,186205.00,77747.00
2016-Diciembre,191351.00,81587.00
2017-Enero,190101.00,80079.00
2017-Febrero,190885.00,79999.00
2017-Marzo,192324.00,80133.00
2017-Abril,194592.00,82009.00
2017-Mayo,194157.00,81224.00
2017-Junio,196578.00,82079.00
2017-Julio,198092.00,82111.00
2017-Agosto,198655.00,81717.00
2017-Setiembre,200075.00,82404.00
2017-Octubre,201047.00,82692.00
2017-Noviembre,202938.00,84146.00
2017-Diciembre,209575.00,89788.00
2018-Enero,207523.00,87039.00
2018-Febrero,208263.00,87207.00
2018-Marzo,211333.00,88997.00
2018-Abril,211688.00,88222.00
2018-Mayo,211522.00,87443.00
2018-Junio,213004.00,87647.00
2018-Julio,214518.00,88004.00
2018-Agosto,216009.00,88533.00
2018-Setiembre,216909.00,88358.00
2018-Octubre,218186.00,88993.00
2018-Noviembre,220363.00,90913.00
2018-Diciembre,228158.00,97450.00
2019-Enero,225973.00,94825.00
2019-Febrero,227045.00,95007.00
2019-Marzo,230097.00,96639.00
2019-Abril,232682.00,98126.00
2019-Mayo,233117.00,97470.00
2019-Junio,235516.00,98151.00
2019-Julio,237588.00,98692.00
2019-Agosto,239558.00,99461.00
2019-Setiembre,241739.00,100012.00
2019-Octubre,243413.00,100495.00
2019-Noviembre,246645.00,103241.00
2019-Diciembre,254612.00,110144.00
2020-Enero,252971.00,107295.00
2020-Febrero,254422.00,108119.00
2020-Marzo,257883.00,110845.00
2020-Abril,258420.00,110719.00
2020-Mayo,263491.00,114395.00
2020-Junio,269571.00,118381.00
2020-Julio,274433.00,120471.00
2020-Agosto,280331.00,124117.00
2020-Setiembre,285483.00,126920.00
2020-Octubre,288474.00,128703.00
2020-Noviembre,292335.00,130815.00
2020-Diciembre,301591.00,137937.00
2021-Enero,299988.39,135905.12
2021-Febrero,300719.68,135804.37
2021-Marzo,303565.42,137217.62
2021-Abril,304402.91,137106.55
2021-Mayo,306601.75,137804.07
2021-Junio,308846.01,139096.76
2021-Julio,311169.04,139964.71
2021-Agosto,312934.30,140069.56
2021-Setiembre,314518.66,140704.86
2021-Octubre,316129.93,141862.08
2021-Noviembre,320169.09,145449.82
2021-Diciembre,329870.88,153733.96
2022-Enero,329375.32,151412.45
