key,mae,time,cc
snaive,2.0864930555555556,0.02725,3.3030303030303028
hw,1.6876864835175336,0.0605,7.333333333333333
ar,1.280121624255762,0.197,23.87878787878788
sarima,0.5772244535245026,24.37325,2954.333333333333
var,1.1511898137569634,0.065,7.878787878787879
svm,0.5359349965568854,61.12175,7408.696969696969
rf,0.7039899166666694,122.53900000000002,14853.212121212122
xgb,0.8010085136029454,142.063,17219.757575757572
mlp,0.7512920469423867,708.3059999999999,85855.27272727272
lstm,1.1378283463957286,74.161,8989.21212121212
