fecha,model,value
2020-02-01,var,2.942248942072525
2020-03-01,var,3.895812711389671
2020-04-01,var,4.176912602296088
2020-05-01,var,4.04523050997195
2020-06-01,var,3.919645975553939
2020-07-01,var,4.733517889082939
2020-08-01,var,5.932863961026353
2020-09-01,var,7.0121674476367435
2020-10-01,var,6.91115224241527
2020-11-01,var,6.2387287476062685
2020-12-01,var,5.679054727612065
2021-01-01,var,5.851451068884606
2021-02-01,var,5.451056463438036
2021-03-01,var,4.434373641150762
2021-04-01,var,3.659262890886013
2021-05-01,var,3.856379194113552
2021-06-01,var,4.27058521897669
2021-07-01,var,4.059712068924865
2021-08-01,var,3.5508173723707044
2021-09-01,var,2.9844355954535255
2021-10-01,var,2.7908079925693268
2021-11-01,var,3.1123877313175665
2021-12-01,var,3.4659312796152015
