name,snaïve,holt-winters,ar,sarima,var,svm,rf,xgb,mlp,lstm
h = 3,17.8666666666667,8.110520543991544,7.133853423673674,2.1721305026093436,2.895226652249451,4.286729058231183,6.708155111111114,8.06103663126629,9.208501556408727,6.294864301670261
h = 9,6.081510081510083,9.119436252117072,5.35936166682667,0.9465588548370384,2.8265143240205544,1.5266717198807784,2.280636636636655,2.8591456926723047,9.235325819950646,5.34451127335425
h = 12,6.6287148594377525,3.819568336321374,3.0789321956785773,1.189790320890565,5.834688866213198,1.0677694161744098,1.680012550200809,1.8650687547093896,4.161385465609582,2.1215424439702644
h = 24,3.730215531424811,3.050382188805015,3.0244303707972944,2.9108909727330037,2.5577065532351257,0.7784281578458939,1.3742358094768117,1.2876287347276418,5.4143312243261175,2.801254051636357
