key,h = 3,h = 9,h = 12,h = 24
snaïve,2.2333333333333334,1.968888888888889,2.5008333333333335,1.6429166666666668
holt-winters,1.013815067998941,2.9524174866229016,1.4410189632485182,1.3434944161997735
ar,0.8917316779592076,1.7350933396351342,1.1615971465514632,1.3320643328772428
sarima,0.27151631282616745,0.3064484292534911,0.4488754392450767,1.282057632773275
var,0.3619033315311808,0.9150840124016544,2.20126898134407,1.1265029297509486
(ts) ensemble,0.7004645238016058,1.088044940955086,1.114964763522374,0.9457428119475308
svm,0.5358411322788968,0.6590132924152026,0.4923603419026445,0.4565252196307978
rf,0.8385193888888877,0.7383561111111169,0.6338229166666688,0.6052612500000043
xgb,1.0076295789082843,0.9256484180026584,0.7036395756403605,0.5671164818604787
mlp,0.4345511280887763,1.1140779515795642,0.5808437130204634,0.8756953950807429
lstm,0.7868580377087812,1.7302855247484383,0.8004001038615087,1.2337697192641863
(ml) ensemble,0.7048364580377638,1.0400011303135728,0.4743978261188224,0.4775732120061194
(ts & ml) ensemble,0.7423671762415576,1.186738261211547,0.7871931152178719,0.6934653398459587
