fecha,cafe_valor_exportado,cafe_volumen_exportado,cafe_precio_promedio_de_exportacion,banano_valor_exportado,banano_volumen_exportado,banano_precio_promedio_de_exportacion,azucar_valor_exportado,azucar_volumen_exportado,azucar_precio_promedio_de_exportacion,exportaciones_totales,exportaciones_de_bienes_para_la_elaboracion,exportaciones_de_mercancias_generales,hidrocarburos_valor_importado,hidrocarburos_volumen_importado,hidrocarburos_precio_promedio_de_importacion,importaciones_totales,importaciones_de_bienes_para_la_elaboracion,importaciones_de_mercancias_generales,remesas_ingreso,remesas_egreso,remesas_neto,remesas_ingreso_acumulado,remesas_egreso_acumulado,remesas_neto_acumulado,rin_del_banco_central
2020-10-01,15.67,103.2,151.87,66.85,198.7,336.45,24.85,70989.8,0.35,912.9,251.7,661.2,134.31,2668.9,50.32,1670.9,190.3,1480.6,1133,1.8,1131.2,9193.5,11.6,9181.9,18314.8
2020-11-01,8.15,55.9,145.8,55.23,159,347.36,7.94,20380.7,0.39,884.3,222.8,661.5,145.73,2836.4,51.38,1682.9,170.8,1512.1,983.4,1.9,981.5,10176.9,13.5,10163.4,18249.4
2020-12-01,17.34,118.4,146.44,53.68,156.3,343.46,73.55,201530.1,0.36,1084.3,252.2,832.1,162.18,2790,58.13,1780.6,183.5,1597.1,1163.6,1.3,1162.3,11340.5,14.8,11325.7,18468.2
2021-01-01,40.44,273.5,147.85,64.35,163.1,394.57,84.1,225711.8,0.37,1004,222.6,781.4,185.52,2933.7,63.24,1703.3,175.6,1527.7,906.8,1.3,905.5,906.8,1.3,905.5,18253.3
2021-02-01,62.15,373.8,166.26,64.09,182.2,351.75,63.27,178660.8,0.35,1030.9,224.5,806.4,157.89,2299.4,68.67,1759.9,185.7,1574.2,942.9,0.9,942,1849.7,2.2,1847.5,18374.4
2021-03-01,98.93,577.4,171.34,81.49,227.1,358.81,83.32,220290.7,0.38,1250.6,281.5,969.1,273.87,3388,80.84,2151.5,207.6,1943.9,1285.6,1.4,1284.2,3135.3,3.6,3131.7,18699.8
2021-04-01,97.24,541.5,179.57,63.49,176.3,360.12,35.07,85426.8,0.41,1049.9,253,796.9,193.33,2433.1,79.46,2079.3,263.9,1815.4,1231.7,1,1230.7,4367,4.6,4362.4,18812.2
2021-05-01,132.16,721.6,183.15,58.27,162.5,358.57,50.76,138101.1,0.37,1088,246,842,236.44,2818.6,83.89,2159.9,241.1,1918.8,1236.7,1.1,1235.6,5603.7,5.7,5598,18929.7
2021-06-01,124.74,657.3,189.78,64.02,179.2,357.23,25.87,63537.4,0.41,1136.2,251.6,884.6,230.51,2654.4,86.84,2154.8,269.9,1884.9,1362.5,1.6,1360.9,6966.2,7.3,6958.9,18748.8
2021-07-01,121.39,609.7,199.09,68.68,193.2,355.49,30.71,76748.3,0.4,1193.9,296.1,897.8,227.79,2532.8,89.93,2289.4,243.4,2046,1354.3,1.2,1353.1,8320.5,8.5,8312,19167.1
2021-08-01,89.63,437.5,204.87,82.15,235.2,349.26,28.5,76542.8,0.37,1132.2,293.3,838.9,231,2560.3,90.23,2317.4,259.4,2058,1388.6,1.4,1387.2,9709.1,9.9,9699.2,19810.4
2021-09-01,78.78,390.2,201.89,85.94,241.7,355.57,16.35,39291.4,0.42,1187.1,285.8,901.3,224.14,2472.7,90.65,2276,248.9,2027.1,1299.3,1.4,1297.9,11008.4,11.3,10997.1,19827.2
2021-10-01,32.54,170.6,190.74,67.85,191.4,354.51,13.59,31710.5,0.43,1107.5,292.3,815.2,275.21,2783.5,98.87,2507.5,312,2195.5,1418.5,1.6,1416.9,12426.9,12.9,12414,20663.2
2021-11-01,15.33,75.3,203.53,56.44,179.8,313.93,15.11,40420,0.37,1090.1,289,801.1,261.2,2664,98.05,2657.4,311,2346.4,1356.6,1.9,1354.7,13783.5,14.8,13768.7,20701.8
