"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Remesas familiares",,,,,,
"Remesas familiares: ingresos, egresos y neto",,,,,,
"Unidad de medida: Millones de US dólares.",,,,,,
Fechas,Guatemala,,,,,
,"Remesas, ingreso","Remesas, egreso","Remesas neto","Remesas, ingreso acumulado","Remesas, egreso acumulado","Remesas neto acumulado"
2017-Junio,723.71,1.00,722.71,4052.37,7.60,4044.77
2017-Julio,664.19,1.30,662.89,4716.56,8.90,4707.66
2017-Agosto,707.84,1.20,706.64,5424.40,10.10,5414.30
2017-Setiembre,672.94,1.00,671.94,6097.34,11.10,6086.24
2017-Octubre,728.27,1.70,726.57,6825.61,12.80,6812.81
2017-Noviembre,646.30,1.10,645.20,7471.91,13.90,7458.01
2017-Diciembre,720.31,1.10,719.20,8192.22,15.00,8177.22
2018-Enero,634.58,1.50,633.08,634.58,1.50,633.08
2018-Febrero,630.10,1.00,629.10,1264.68,2.50,1262.18
2018-Marzo,754.49,1.20,753.29,2019.17,3.70,2015.47
2018-Abril,769.95,1.30,768.65,2789.12,5.00,2784.12
2018-Mayo,808.55,1.10,807.45,3597.67,6.10,3591.57
2018-Junio,801.42,1.40,800.02,4399.09,7.50,4391.59
2018-Julio,818.35,1.30,817.05,5217.44,8.80,5208.64
2018-Agosto,860.43,1.10,859.33,6077.87,9.90,6067.97
2018-Setiembre,745.98,1.20,744.78,6823.85,11.10,6812.75
2018-Octubre,863.52,1.60,861.92,7687.37,12.70,7674.67
2018-Noviembre,757.08,1.30,755.78,8444.45,14.00,8430.45
2018-Diciembre,843.34,1.20,842.14,9287.79,15.20,9272.59
2019-Enero,688.10,1.60,686.50,688.10,1.60,686.50
2019-Febrero,690.50,1.00,689.50,1378.60,2.60,1376.00
2019-Marzo,826.70,1.20,825.50,2205.30,3.80,2201.50
2019-Abril,865.20,1.40,863.80,3070.50,5.20,3065.30
2019-Mayo,974.50,1.10,973.40,4045.00,6.30,4038.70
2019-Junio,882.00,1.10,880.90,4927.00,7.40,4919.60
2019-Julio,947.80,1.20,946.60,5874.80,8.60,5866.20
2019-Agosto,980.60,1.00,979.60,6855.40,9.60,6845.80
2019-Setiembre,892.30,1.30,891.00,7747.70,10.90,7736.80
2019-Octubre,1000.00,1.40,998.60,8747.70,12.30,8735.40
2019-Noviembre,819.90,1.30,818.60,9567.60,13.60,9554.00
2019-Diciembre,940.80,1.10,939.70,10508.40,14.70,10493.70
2020-Enero,834.60,1.40,833.20,834.60,1.40,833.20
2020-Febrero,808.00,0.90,807.10,1642.60,2.30,1640.30
2020-Marzo,746.80,0.70,746.10,2389.40,3.00,2386.40
2020-Abril,690.80,1.00,689.80,3080.20,4.00,3076.20
2020-Mayo,836.80,1.00,835.80,3917.00,5.00,3912.00
2020-Junio,963.30,1.50,961.80,4880.30,6.50,4873.80
2020-Julio,1078.70,1.00,1077.70,5959.00,7.50,5951.50
2020-Agosto,1050.20,1.20,1049.00,7009.20,8.70,7000.50
2020-Setiembre,1051.30,1.10,1050.20,8060.50,9.80,8050.70
2020-Octubre,1133.00,1.80,1131.20,9193.50,11.60,9181.90
2020-Noviembre,983.40,1.90,981.50,10176.90,13.50,10163.40
2020-Diciembre,1163.60,1.30,1162.30,11340.50,14.80,11325.70
2021-Enero,906.80,1.30,905.50,906.80,1.30,905.50
2021-Febrero,942.90,0.90,942.00,1849.70,2.20,1847.50
2021-Marzo,1285.60,1.40,1284.20,3135.30,3.60,3131.70
2021-Abril,1231.70,1.00,1230.70,4367.00,4.60,4362.40
2021-Mayo,1236.70,1.10,1235.60,5603.70,5.70,5598.00
2021-Junio,1362.50,1.60,1360.90,6966.20,7.30,6958.90
2021-Julio,1354.30,1.20,1353.10,8320.50,8.50,8312.00
2021-Agosto,1388.60,1.40,1387.20,9709.10,9.90,9699.20
2021-Setiembre,1299.30,1.40,1297.90,11008.40,11.30,10997.10
2021-Octubre,1418.50,1.60,1416.90,12426.90,12.90,12414.00
2021-Noviembre,1356.60,1.90,1354.70,13783.50,14.80,13768.70
2021-Diciembre,1512.20,2.00,1510.20,15295.70,16.80,15278.90
