"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Comercio exterior",,,,,,
"Exportación de café, banano y azúcar",,,,,,
"Unidad de medida: Valor en millones de US dólares. Volumen en miles de: café en quintales (QQ), banano en toneladas métricas (T) y azúcar en kilogramos (KG). Precio promedio en US$/QQ, US$/T y US$/KG",,,,,,
Fechas,Guatemala,,,,,,,,
,"Café valor exportado","Café volumen exportado","Café precio promedio de exportación","Banano valor exportado","Banano volumen exportado","Banano precio promedio de exportación","Azúcar valor exportado","Azúcar volumen exportado","Azúcar precio promedio de exportación"
2015-Mayo,91.87,551.46,166.60,54.34,167.60,324.22,142.62,350232.95,0.41
2015-Junio,80.10,492.48,162.64,40.96,124.98,327.73,90.98,229850.74,0.40
2015-Julio,71.25,420.61,169.40,52.27,157.93,330.97,79.86,199618.45,0.40
2015-Agosto,57.84,347.56,166.43,59.18,173.52,341.06,34.17,87337.62,0.39
2015-Setiembre,29.88,182.11,164.07,66.96,194.21,344.78,38.96,102466.83,0.38
2015-Octubre,11.39,73.36,155.28,67.57,199.18,339.24,34.87,102757.31,0.34
2015-Noviembre,11.41,78.02,146.24,49.86,151.70,328.68,46.43,124450.82,0.37
2015-Diciembre,25.88,181.58,142.53,47.59,140.65,338.36,41.79,100236.51,0.42
2016-Enero,43.35,290.37,149.29,49.76,152.94,325.40,79.69,196305.95,0.41
2016-Febrero,60.18,396.76,151.67,51.83,160.10,323.76,79.07,214780.45,0.37
2016-Marzo,68.36,430.99,158.61,63.35,195.88,323.42,110.04,301178.46,0.37
2016-Abril,91.76,563.25,162.91,62.83,194.59,322.89,82.87,212787.57,0.39
2016-Mayo,75.29,468.12,160.83,56.13,172.93,324.60,93.77,257952.13,0.36
2016-Junio,79.34,475.33,166.92,52.07,157.39,330.85,74.07,189965.18,0.39
2016-Julio,79.22,458.39,172.82,51.31,156.01,328.91,29.12,73395.70,0.40
2016-Agosto,60.48,365.75,165.36,73.67,221.79,332.18,53.69,130471.59,0.41
2016-Setiembre,40.43,241.33,167.55,70.44,217.71,323.54,48.59,124960.91,0.39
2016-Octubre,12.96,82.86,156.37,60.08,186.84,321.55,21.84,49747.39,0.44
2016-Noviembre,12.85,77.70,165.43,60.02,181.12,331.37,48.05,108018.49,0.44
2016-Diciembre,24.90,156.18,159.46,51.10,157.24,325.00,95.93,218073.60,0.44
2017-Enero,44.12,262.96,167.78,61.09,184.95,330.31,79.44,169555.55,0.47
2017-Febrero,68.66,394.68,173.96,61.41,186.89,328.62,96.64,224850.22,0.43
2017-Marzo,92.40,525.58,175.81,73.23,221.71,330.29,121.01,286143.43,0.42
2017-Abril,93.82,537.07,174.70,61.63,188.46,326.99,104.00,235199.16,0.44
2017-Mayo,94.13,545.53,172.55,65.76,197.79,332.47,95.56,206156.50,0.46
2017-Junio,95.82,572.72,167.31,58.64,175.06,334.99,64.20,135039.23,0.48
2017-Julio,85.55,506.16,169.01,67.37,200.09,336.70,58.97,143082.36,0.41
2017-Agosto,67.50,425.78,158.53,75.45,226.77,332.73,65.58,155530.37,0.42
2017-Setiembre,47.50,312.81,151.85,69.12,209.86,329.35,22.42,44407.09,0.50
2017-Octubre,20.40,131.31,155.37,73.15,221.49,330.26,19.75,50486.07,0.39
2017-Noviembre,14.88,102.70,144.85,64.77,194.20,333.53,36.51,106421.13,0.34
2017-Diciembre,23.22,167.17,138.92,49.96,151.09,330.65,60.92,146510.48,0.42
2018-Enero,45.77,319.34,143.32,52.34,156.18,335.14,83.45,202284.60,0.41
2018-Febrero,61.67,419.87,146.88,62.50,185.82,336.31,68.45,160061.80,0.43
2018-Marzo,83.75,551.29,151.92,73.51,223.31,329.18,97.44,266478.91,0.37
2018-Abril,89.44,583.08,153.39,65.40,193.56,337.89,68.99,182390.82,0.38
2018-Mayo,99.15,634.86,156.18,70.76,207.08,341.70,64.66,186319.12,0.35
